Unnamed: 0,case,run,VB,time,DOC,feed,material
,1.0,1.0,0.0,2.0,1.5,0.5,1.0
,1.0,2.0,,4.0,1.5,0.5,1.0
,1.0,3.0,,6.0,1.5,0.5,1.0
,1.0,4.0,11.0,7.0,1.5,0.5,1.0
,1.0,5.0,,11.0,1.5,0.5,1.0
,1.0,6.0,20.0,15.0,1.5,0.5,1.0
,1.0,7.0,24.0,19.0,1.5,0.5,1.0
,1.0,8.0,28.999999999999996,22.0,1.5,0.5,1.0
,1.0,9.0,28.000000000000004,26.0,1.5,0.5,1.0
,1.0,10.0,28.999999999999996,29.0,1.5,0.5,1.0
,1.0,11.0,38.0,32.0,1.5,0.5,1.0
,1.0,12.0,40.0,35.0,1.5,0.5,1.0
,1.0,13.0,43.0,38.0,1.5,0.5,1.0
,1.0,14.0,45.0,41.0,1.5,0.5,1.0
,1.0,15.0,50.0,44.0,1.5,0.5,1.0
,1.0,16.0,,46.0,1.5,0.5,1.0
,1.0,17.0,44.0,48.0,1.5,0.5,1.0
,2.0,1.0,8.0,3.0,0.75,0.5,1.0
,2.0,2.0,14.000000000000002,9.0,0.75,0.5,1.0
,2.0,3.0,14.000000000000002,12.0,0.75,0.5,1.0
,2.0,4.0,14.000000000000002,15.0,0.75,0.5,1.0
,2.0,5.0,15.0,22.0,0.75,0.5,1.0
,2.0,6.0,,24.0,0.75,0.5,1.0
,2.0,7.0,18.0,27.0,0.75,0.5,1.0
,2.0,8.0,22.0,33.0,0.75,0.5,1.0
,2.0,9.0,26.0,39.0,0.75,0.5,1.0
,2.0,10.0,31.0,45.0,0.75,0.5,1.0
,2.0,11.0,38.0,51.0,0.75,0.5,1.0
,2.0,12.0,43.0,59.0,0.75,0.5,1.0
,2.0,13.0,48.0,66.0,0.75,0.5,1.0
,2.0,14.0,55.00000000000001,72.0,0.75,0.5,1.0
,3.0,1.0,0.0,0.0,0.75,0.25,1.0
,3.0,2.0,13.0,3.0,0.75,0.25,1.0
,3.0,3.0,13.0,9.0,0.75,0.25,1.0
,3.0,5.0,17.0,21.0,0.75,0.25,1.0
,3.0,6.0,19.0,27.0,0.75,0.25,1.0
,3.0,7.0,20.0,33.0,0.75,0.25,1.0
,3.0,8.0,23.0,39.0,0.75,0.25,1.0
,3.0,9.0,23.0,45.0,0.75,0.25,1.0
,3.0,10.0,26.0,51.0,0.75,0.25,1.0
,3.0,11.0,28.000000000000004,57.0,0.75,0.25,1.0
,3.0,12.0,33.0,63.0,0.75,0.25,1.0
,3.0,14.0,36.0,69.0,0.75,0.25,1.0
,3.0,15.0,44.0,75.0,0.75,0.25,1.0
,3.0,16.0,55.00000000000001,81.0,0.75,0.25,1.0
,4.0,1.0,8.0,3.0,1.5,0.25,1.0
,4.0,2.0,13.0,9.0,1.5,0.25,1.0
,4.0,3.0,20.0,15.0,1.5,0.25,1.0
,4.0,4.0,31.0,21.0,1.5,0.25,1.0
,4.0,5.0,35.0,27.0,1.5,0.25,1.0
,4.0,6.0,40.0,34.0,1.5,0.25,1.0
,4.0,7.0,49.0,39.0,1.5,0.25,1.0
,9.0,1.0,0.0,1.0,1.5,0.5,1.0
,9.0,2.0,10.0,3.0,1.5,0.5,1.0
,9.0,3.0,14.000000000000002,9.0,1.5,0.5,1.0
,9.0,4.0,19.0,16.0,1.5,0.5,1.0
,9.0,5.0,27.0,22.0,1.5,0.5,1.0
,9.0,6.0,38.0,28.0,1.5,0.5,1.0
,9.0,7.0,47.0,34.0,1.5,0.5,1.0
,9.0,8.0,64.0,40.0,1.5,0.5,1.0
,9.0,9.0,81.0,46.0,1.5,0.5,1.0
,10.0,1.0,0.0,0.0,1.5,0.25,1.0
,10.0,2.0,4.0,4.0,1.5,0.25,1.0
,10.0,3.0,8.0,9.0,1.5,0.25,1.0
,10.0,4.0,16.0,15.0,1.5,0.25,1.0
,10.0,5.0,25.0,21.0,1.5,0.25,1.0
,10.0,6.0,36.0,27.0,1.5,0.25,1.0
,10.0,7.0,43.0,33.0,1.5,0.25,1.0
,10.0,8.0,47.0,39.0,1.5,0.25,1.0
,10.0,9.0,53.0,45.0,1.5,0.25,1.0
,10.0,10.0,70.0,57.0,1.5,0.25,1.0
,11.0,1.0,0.0,1.0,0.75,0.25,1.0
,11.0,2.0,4.0,3.0,0.75,0.25,1.0
,11.0,3.0,7.000000000000001,10.0,0.75,0.25,1.0
,11.0,4.0,7.000000000000001,12.0,0.75,0.25,1.0
,11.0,5.0,8.0,14.0,0.75,0.25,1.0
,11.0,6.0,9.0,17.0,0.75,0.25,1.0
,11.0,7.0,,19.0,0.75,0.25,1.0
,11.0,8.0,12.0,21.0,0.75,0.25,1.0
,11.0,9.0,16.0,27.0,0.75,0.25,1.0
,11.0,10.0,18.0,33.0,0.75,0.25,1.0
,11.0,11.0,20.0,39.0,0.75,0.25,1.0
,11.0,12.0,23.0,45.0,0.75,0.25,1.0
,11.0,13.0,26.0,51.0,0.75,0.25,1.0
,11.0,14.0,,54.0,0.75,0.25,1.0
,11.0,15.0,31.0,57.0,0.75,0.25,1.0
,11.0,16.0,37.0,63.0,0.75,0.25,1.0
,11.0,17.0,,67.0,0.75,0.25,1.0
,11.0,18.0,42.0,72.0,0.75,0.25,1.0
,11.0,19.0,47.0,80.0,0.75,0.25,1.0
,11.0,20.0,56.99999999999999,86.0,0.75,0.25,1.0
,11.0,21.0,65.0,93.0,0.75,0.25,1.0
,11.0,22.0,68.0,100.0,0.75,0.25,1.0
,11.0,23.0,76.0,105.0,0.75,0.25,1.0
,12.0,1.0,,1.0,0.75,0.5,1.0
,12.0,2.0,5.0,3.0,0.75,0.5,1.0
,12.0,3.0,8.0,6.0,0.75,0.5,1.0
,12.0,4.0,,12.0,0.75,0.5,1.0
,12.0,5.0,12.0,19.0,0.75,0.5,1.0
,12.0,6.0,17.0,24.0,0.75,0.5,1.0
,12.0,7.0,20.0,30.0,0.75,0.5,1.0
,12.0,8.0,24.0,36.0,0.75,0.5,1.0
,12.0,9.0,32.0,42.0,0.75,0.5,1.0
,12.0,10.0,,45.0,0.75,0.5,1.0
,12.0,11.0,40.0,49.0,0.75,0.5,1.0
,12.0,12.0,45.0,55.0,0.75,0.5,1.0
,12.0,13.0,49.0,61.0,0.75,0.5,1.0
,12.0,14.0,57.99999999999999,67.0,0.75,0.5,1.0
,12.0,15.0,65.0,74.0,0.75,0.5,1.0
,5.0,1.0,0.0,0.0,1.5,0.5,2.0
,5.0,2.0,16.0,3.0,1.5,0.5,2.0
,5.0,3.0,28.999999999999996,6.0,1.5,0.5,2.0
,5.0,4.0,44.0,9.0,1.5,0.5,2.0
,5.0,5.0,53.0,12.0,1.5,0.5,2.0
,5.0,6.0,74.0,15.0,1.5,0.5,2.0
,6.0,1.0,0.0,0.0,1.5,0.25,2.0
,7.0,1.0,0.0,1.0,0.75,0.25,2.0
,7.0,2.0,9.0,3.0,0.75,0.25,2.0
,7.0,3.0,13.0,6.0,0.75,0.25,2.0
,7.0,4.0,22.0,10.0,0.75,0.25,2.0
,7.0,5.0,24.0,13.0,0.75,0.25,2.0
,7.0,6.0,34.0,15.0,0.75,0.25,2.0
,7.0,7.0,46.0,19.0,0.75,0.25,2.0
,7.0,8.0,,21.0,0.75,0.25,2.0
,8.0,1.0,0.0,0.0,0.75,0.5,2.0
,8.0,2.0,18.0,3.0,0.75,0.5,2.0
,8.0,3.0,30.0,6.0,0.75,0.5,2.0
,8.0,4.0,,8.0,0.75,0.5,2.0
,8.0,5.0,44.0,9.0,0.75,0.5,2.0
,8.0,6.0,62.0,12.0,0.75,0.5,2.0
,13.0,1.0,,1.0,0.75,0.25,2.0
,13.0,2.0,,2.0,0.75,0.25,2.0
,13.0,3.0,10.0,4.0,0.75,0.25,2.0
,13.0,4.0,13.0,7.0,0.75,0.25,2.0
,13.0,5.0,17.0,11.0,0.75,0.25,2.0
,13.0,6.0,32.0,16.0,0.75,0.25,2.0
,13.0,7.0,38.0,19.0,0.75,0.25,2.0
,13.0,8.0,49.0,22.0,0.75,0.25,2.0
,13.0,9.0,56.00000000000001,25.0,0.75,0.25,2.0
,13.0,10.0,68.0,29.0,0.75,0.25,2.0
,13.0,11.0,83.0,32.0,0.75,0.25,2.0
,13.0,12.0,92.0,35.0,0.75,0.25,2.0
,13.0,13.0,107.0,38.0,0.75,0.25,2.0
,13.0,14.0,130.0,42.0,0.75,0.25,2.0
,13.0,15.0,153.0,45.0,0.75,0.25,2.0
,14.0,1.0,,1.0,0.75,0.5,2.0
,14.0,2.0,9.0,3.0,0.75,0.5,2.0
,14.0,3.0,17.0,6.0,0.75,0.5,2.0
,14.0,4.0,24.0,9.0,0.75,0.5,2.0
,14.0,5.0,,11.0,0.75,0.5,2.0
,14.0,6.0,35.0,12.0,0.75,0.5,2.0
,14.0,8.0,60.0,18.0,0.75,0.5,2.0
,14.0,9.0,81.0,21.0,0.75,0.5,2.0
,14.0,10.0,113.99999999999999,24.0,0.75,0.5,2.0
,15.0,1.0,,1.0,1.5,0.25,2.0
,15.0,2.0,15.0,3.0,1.5,0.25,2.0
,15.0,3.0,28.000000000000004,6.0,1.5,0.25,2.0
,15.0,4.0,37.0,9.0,1.5,0.25,2.0
,15.0,5.0,48.0,13.0,1.5,0.25,2.0
,15.0,6.0,56.00000000000001,16.0,1.5,0.25,2.0
,15.0,7.0,70.0,19.0,1.5,0.25,2.0
,16.0,1.0,,1.0,1.5,0.5,2.0
,16.0,2.0,,2.0,1.5,0.5,2.0
,16.0,3.0,24.0,3.0,1.5,0.5,2.0
,16.0,4.0,,4.0,1.5,0.5,2.0
,16.0,5.0,40.0,6.0,1.5,0.5,2.0
,16.0,6.0,62.0,9.0,1.5,0.5,2.0
